M154;(OSTEO)ARTROSIS EROSIVA|
X700;LESION AUTOINFLIGIDA INTENCIONALMENTE POR AHORCAMIENTO, ESTRANGULAMIENTO O SOFOCACION, EN VIVIENDA|
X81X;LESION AUTOINFLIGIDA INTENCIONALMENTE POR ARROJARSE O COLOCARSE DELANTE DE OBJETO EN MOVIMIENTO|
X810;LESION AUTOINFLIGIDA INTENCIONALMENTE POR ARROJARSE O COLOCARSE DELANTE DE OBJETO EN MOVIMIENTO, EN|
X811;LESION AUTOINFLIGIDA INTENCIONALMENTE POR ARROJARSE O COLOCARSE DELANTE DE OBJETO EN MOVIMIENTO, EN|
X812;LESION AUTOINFLIGIDA INTENCIONALMENTE POR ARROJARSE O COLOCARSE DELANTE DE OBJETO EN MOVIMIENTO, EN|
X813;LESION AUTOINFLIGIDA INTENCIONALMENTE POR ARROJARSE O COLOCARSE DELANTE DE OBJETO EN MOVIMIENTO, EN|
X814;LESION AUTOINFLIGIDA INTENCIONALMENTE POR ARROJARSE O COLOCARSE DELANTE DE OBJETO EN MOVIMIENTO, EN|
X815;LESION AUTOINFLIGIDA INTENCIONALMENTE POR ARROJARSE O COLOCARSE DELANTE DE OBJETO EN MOVIMIENTO, EN|
X816;LESION AUTOINFLIGIDA INTENCIONALMENTE POR ARROJARSE O COLOCARSE DELANTE DE OBJETO EN MOVIMIENTO, EN|
X817;LESION AUTOINFLIGIDA INTENCIONALMENTE POR ARROJARSE O COLOCARSE DELANTE DE OBJETO EN MOVIMIENTO, EN|
X818;LESION AUTOINFLIGIDA INTENCIONALMENTE POR ARROJARSE O COLOCARSE DELANTE DE OBJETO EN MOVIMIENTO, EN|
X819;LESION AUTOINFLIGIDA INTENCIONALMENTE POR ARROJARSE O COLOCARSE DELANTE DE OBJETO EN MOVIMIENTO, LUG|
X82X;LESION AUTOINFLIGIDA INTENCIONALMENTE POR COLISION DE VEHICULO DE MOTOR|
X826;LESION AUTOINFLIGIDA INTENCIONALMENTE POR COLISION DE VEHICULO DE MOTOR, EN AREA INDUSTRIAL Y DE LA|
X823;LESION AUTOINFLIGIDA INTENCIONALMENTE POR COLISION DE VEHICULO DE MOTOR, EN AREAS DE DEPORTE Y ATLET|
X824;LESION AUTOINFLIGIDA INTENCIONALMENTE POR COLISION DE VEHICULO DE MOTOR, EN CALLES Y CARRETERAS|
X825;LESION AUTOINFLIGIDA INTENCIONALMENTE POR COLISION DE VEHICULO DE MOTOR, EN COMERCIO Y AREA DE SERVI|
X822;LESION AUTOINFLIGIDA INTENCIONALMENTE POR COLISION DE VEHICULO DE MOTOR, EN ESCUELAS, OTRAS INSTITUC|
X827;LESION AUTOINFLIGIDA INTENCIONALMENTE POR COLISION DE VEHICULO DE MOTOR, EN GRANJA|
X821;LESION AUTOINFLIGIDA INTENCIONALMENTE POR COLISION DE VEHICULO DE MOTOR, EN INSTITUCION RESIDENCIAL|
X829;LESION AUTOINFLIGIDA INTENCIONALMENTE POR COLISION DE VEHICULO DE MOTOR, EN LUGAR NO ESPECIFICADO|
X828;LESION AUTOINFLIGIDA INTENCIONALMENTE POR COLISION DE VEHICULO DE MOTOR, EN OTRO LUGAR ESPECIFICADO|
X820;LESION AUTOINFLIGIDA INTENCIONALMENTE POR COLISION DE VEHICULO DE MOTOR, EN VIVIENDA|
X72X;LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE ARMA CORTA|
X726;LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE ARMA CORTA, EN AREA INDUSTRIAL Y DE LA CONSTRUC|
X723;LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE ARMA CORTA, EN AREAS DE DEPORTE Y ATLETISMO|
X724;LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE ARMA CORTA, EN CALLES Y CARRETERAS|
X725;LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE ARMA CORTA, EN COMERCIO Y AREA DE SERVICIOS|
X722;LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE ARMA CORTA, EN ESCUELAS, OTRAS INSTITUCIONES Y|
X727;LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE ARMA CORTA, EN GRANJA|
X721;LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE ARMA CORTA, EN INSTITUCION RESIDENCIAL|
X729;LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE ARMA CORTA, EN LUGAR NO ESPECIFICADO|
X728;LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE ARMA CORTA, EN OTRO LUGAR ESPECIFICADO|
X720;LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE ARMA CORTA, EN VIVIENDA|
X74X;LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE OTRAS ARMAS DE FUEGO, Y LAS NO ESPECIFICADAS|
X740;LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE OTRAS ARMAS DE FUEGO, Y LAS NO ESPECIFICADAS, E|
X741;LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE OTRAS ARMAS DE FUEGO, Y LAS NO ESPECIFICADAS, E|
X742;LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE OTRAS ARMAS DE FUEGO, Y LAS NO ESPECIFICADAS, E|
X743;LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE OTRAS ARMAS DE FUEGO, Y LAS NO ESPECIFICADAS, E|
X744;LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE OTRAS ARMAS DE FUEGO, Y LAS NO ESPECIFICADAS, E|
X745;LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE OTRAS ARMAS DE FUEGO, Y LAS NO ESPECIFICADAS, E|
X746;LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE OTRAS ARMAS DE FUEGO, Y LAS NO ESPECIFICADAS, E|
X747;LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE OTRAS ARMAS DE FUEGO, Y LAS NO ESPECIFICADAS, E|
X748;LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE OTRAS ARMAS DE FUEGO, Y LAS NO ESPECIFICADAS, E|
X749;LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE OTRAS ARMAS DE FUEGO, Y LAS NO ESPECIFICADAS, E|
X73X;LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE RIFLE, ESCOPETA Y ARMA LARGA|
X736;LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE RIFLE, ESCOPETA Y ARMA LARGA, EN AREA INDUSTRIA|
X733;LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE RIFLE, ESCOPETA Y ARMA LARGA, EN AREAS DE DEPOR|
X734;LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE RIFLE, ESCOPETA Y ARMA LARGA, EN CALLES Y CARRE|
X735;LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE RIFLE, ESCOPETA Y ARMA LARGA, EN COMERCIO Y ARE|
X732;LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE RIFLE, ESCOPETA Y ARMA LARGA, EN ESCUELAS, OTRA|
X737;LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE RIFLE, ESCOPETA Y ARMA LARGA, EN GRANJA|
X731;LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE RIFLE, ESCOPETA Y ARMA LARGA, EN INSTITUCION RE|
X739;LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE RIFLE, ESCOPETA Y ARMA LARGA, EN LUGAR NO ESPEC|
X738;LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE RIFLE, ESCOPETA Y ARMA LARGA, EN OTRO LUGAR ESP|
X730;LESION AUTOINFLIGIDA INTENCIONALMENTE POR DISPARO DE RIFLE, ESCOPETA Y ARMA LARGA, EN VIVIENDA|
X76X;LESION AUTOINFLIGIDA INTENCIONALMENTE POR HUMO, FUEGO Y LLAMAS|
X766;LESION AUTOINFLIGIDA INTENCIONALMENTE POR HUMO, FUEGO Y LLAMAS, EN AREA INDUSTRIAL Y DE LA CONSTRUCC|
X763;LESION AUTOINFLIGIDA INTENCIONALMENTE POR HUMO, FUEGO Y LLAMAS, EN AREAS DE DEPORTE Y ATLETISMO|
X764;LESION AUTOINFLIGIDA INTENCIONALMENTE POR HUMO, FUEGO Y LLAMAS, EN CALLES Y CARRETERAS|
X765;LESION AUTOINFLIGIDA INTENCIONALMENTE POR HUMO, FUEGO Y LLAMAS, EN COMERCIO Y AREA DE SERVICIOS|
X762;LESION AUTOINFLIGIDA INTENCIONALMENTE POR HUMO, FUEGO Y LLAMAS, EN ESCUELAS, OTRAS INSTITUCIONES Y A|
X767;LESION AUTOINFLIGIDA INTENCIONALMENTE POR HUMO, FUEGO Y LLAMAS, EN GRANJA|
X761;LESION AUTOINFLIGIDA INTENCIONALMENTE POR HUMO, FUEGO Y LLAMAS, EN INSTITUCION RESIDENCIAL|
X769;LESION AUTOINFLIGIDA INTENCIONALMENTE POR HUMO, FUEGO Y LLAMAS, EN LUGAR NO ESPECIFICADO|
X768;LESION AUTOINFLIGIDA INTENCIONALMENTE POR HUMO, FUEGO Y LLAMAS, EN OTRO LUGAR ESPECIFICADO|
X760;LESION AUTOINFLIGIDA INTENCIONALMENTE POR HUMO, FUEGO Y LLAMAS, EN VIVIENDA|
X75X;LESION AUTOINFLIGIDA INTENCIONALMENTE POR MATERIAL EXPLOSIVO|
X756;LESION AUTOINFLIGIDA INTENCIONALMENTE POR MATERIAL EXPLOSIVO, EN AREA INDUSTRIAL Y DE LA CONSTRUCCIO|
X753;LESION AUTOINFLIGIDA INTENCIONALMENTE POR MATERIAL EXPLOSIVO, EN AREAS DE DEPORTE Y ATLETISMO|
X754;LESION AUTOINFLIGIDA INTENCIONALMENTE POR MATERIAL EXPLOSIVO, EN CALLES Y CARRETERAS|
X755;LESION AUTOINFLIGIDA INTENCIONALMENTE POR MATERIAL EXPLOSIVO, EN COMERCIO Y AREA DE SERVICIOS|
X752;LESION AUTOINFLIGIDA INTENCIONALMENTE POR MATERIAL EXPLOSIVO, EN ESCUELAS, OTRAS INSTITUCIONES Y ARE|
X757;LESION AUTOINFLIGIDA INTENCIONALMENTE POR MATERIAL EXPLOSIVO, EN GRANJA|
X751;LESION AUTOINFLIGIDA INTENCIONALMENTE POR MATERIAL EXPLOSIVO, EN INSTITUCION RESIDENCIAL|
X759;LESION AUTOINFLIGIDA INTENCIONALMENTE POR MATERIAL EXPLOSIVO, EN LUGAR NO ESPECIFICADO|
X758;LESION AUTOINFLIGIDA INTENCIONALMENTE POR MATERIAL EXPLOSIVO, EN OTRO LUGAR ESPECIFICADO|
X750;LESION AUTOINFLIGIDA INTENCIONALMENTE POR MATERIAL EXPLOSIVO, EN VIVIENDA|
X84X;LESION AUTOINFLIGIDA INTENCIONALMENTE POR MEDIOS NO ESPECIFICADOS|
X846;LESION AUTOINFLIGIDA INTENCIONALMENTE POR MEDIOS NO ESPECIFICADOS, EN AREA INDUSTRIAL Y DE LA CONSTR|
X843;LESION AUTOINFLIGIDA INTENCIONALMENTE POR MEDIOS NO ESPECIFICADOS, EN AREAS DE DEPORTE Y ATLETISMO|
X844;LESION AUTOINFLIGIDA INTENCIONALMENTE POR MEDIOS NO ESPECIFICADOS, EN CALLES Y CARRETERAS|
X845;LESION AUTOINFLIGIDA INTENCIONALMENTE POR MEDIOS NO ESPECIFICADOS, EN COMERCIO Y AREA DE SERVICIOS|
X842;LESION AUTOINFLIGIDA INTENCIONALMENTE POR MEDIOS NO ESPECIFICADOS, EN ESCUELAS, OTRAS INSTITUCIONES|
X847;LESION AUTOINFLIGIDA INTENCIONALMENTE POR MEDIOS NO ESPECIFICADOS, EN GRANJA|
X841;LESION AUTOINFLIGIDA INTENCIONALMENTE POR MEDIOS NO ESPECIFICADOS, EN INSTITUCION RESIDENCIAL|
X849;LESION AUTOINFLIGIDA INTENCIONALMENTE POR MEDIOS NO ESPECIFICADOS, EN LUGAR NO ESPECIFICADO|
X848;LESION AUTOINFLIGIDA INTENCIONALMENTE POR MEDIOS NO ESPECIFICADOS, EN OTRO LUGAR ESPECIFICADO|
X840;LESION AUTOINFLIGIDA INTENCIONALMENTE POR MEDIOS NO ESPECIFICADOS, EN VIVIENDA|
X78X;LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO CORTANTE|
X786;LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO CORTANTE, EN AREA INDUSTRIAL Y DE LA CONSTRUCCION|
X783;LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO CORTANTE, EN AREAS DE DEPORTE Y ATLETISMO|
X784;LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO CORTANTE, EN CALLES Y CARRETERAS|
X785;LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO CORTANTE, EN COMERCIO Y AREA DE SERVICIOS|
X782;LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO CORTANTE, EN ESCUELAS, OTRAS INSTITUCIONES Y AREAS|
X787;LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO CORTANTE, EN GRANJA|
X781;LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO CORTANTE, EN INSTITUCION RESIDENCIAL|
X789;LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO CORTANTE, EN LUGAR NO ESPECIFICADO|
X788;LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO CORTANTE, EN OTRO LUGAR ESPECIFICADO|
X780;LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO CORTANTE, EN VIVIENDA|
X799;LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO ROMO O  SIN FILO EN LUGAR NO ESPECIFICADO|
X79X;LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO ROMO O SIN FILO|
X796;LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO ROMO O SIN FILO, EN AREA INDUSTRIAL Y DE LA CONSTRU|
X793;LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO ROMO O SIN FILO, EN AREAS DE DEPORTE Y ATLETISMO|
X794;LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO ROMO O SIN FILO, EN CALLES Y CARRETERAS|
X795;LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO ROMO O SIN FILO, EN COMERCIO Y AREA DE SERVICIOS|
X792;LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO ROMO O SIN FILO, EN ESCUELAS, OTRAS INSTITUCIONES Y|
X797;LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO ROMO O SIN FILO, EN GRANJA|
X791;LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO ROMO O SIN FILO, EN INSTITUCION RESIDENCIAL|
X798;LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO ROMO O SIN FILO, EN OTRO LUGAR ESPECIFICADO|
X790;LESION AUTOINFLIGIDA INTENCIONALMENTE POR OBJETO ROMO O SIN FILO, EN VIVIENDA|
X83X;LESION AUTOINFLIGIDA INTENCIONALMENTE POR OTROS MEDIOS ESPECIFICADOS|
X836;LESION AUTOINFLIGIDA INTENCIONALMENTE POR OTROS MEDIOS ESPECIFICADOS, EN AREA INDUSTRIAL Y DE LA CON|
X833;LESION AUTOINFLIGIDA INTENCIONALMENTE POR OTROS MEDIOS ESPECIFICADOS, EN AREAS DE DEPORTE Y ATLETISM|
X834;LESION AUTOINFLIGIDA INTENCIONALMENTE POR OTROS MEDIOS ESPECIFICADOS, EN CALLES Y CARRETERAS|
X835;LESION AUTOINFLIGIDA INTENCIONALMENTE POR OTROS MEDIOS ESPECIFICADOS, EN COMERCIO Y AREA DE SERVICIO|
X832;LESION AUTOINFLIGIDA INTENCIONALMENTE POR OTROS MEDIOS ESPECIFICADOS, EN ESCUELAS, OTRAS INSTITUCION|
X837;LESION AUTOINFLIGIDA INTENCIONALMENTE POR OTROS MEDIOS ESPECIFICADOS, EN GRANJA|
X831;LESION AUTOINFLIGIDA INTENCIONALMENTE POR OTROS MEDIOS ESPECIFICADOS, EN INSTITUCION RESIDENCIAL|
X839;LESION AUTOINFLIGIDA INTENCIONALMENTE POR OTROS MEDIOS ESPECIFICADOS, EN LUGAR NO ESPECIFICADO|
X838;LESION AUTOINFLIGIDA INTENCIONALMENTE POR OTROS MEDIOS ESPECIFICADOS, EN OTRO LUGAR ESPECIFICADO|
X830;LESION AUTOINFLIGIDA INTENCIONALMENTE POR OTROS MEDIOS ESPECIFICADOS, EN VIVIENDA|
X77X;LESION AUTOINFLIGIDA INTENCIONALMENTE POR VAPOR DE AGUA, VAPORES Y OBJETOS CALIENTES|
X776;LESION AUTOINFLIGIDA INTENCIONALMENTE POR VAPOR DE AGUA, VAPORES Y OBJETOS CALIENTES, EN AREA INDUST|
X773;LESION AUTOINFLIGIDA INTENCIONALMENTE POR VAPOR DE AGUA, VAPORES Y OBJETOS CALIENTES, EN AREAS DE DE|
X774;LESION AUTOINFLIGIDA INTENCIONALMENTE POR VAPOR DE AGUA, VAPORES Y OBJETOS CALIENTES, EN CALLES Y CA|
X775;LESION AUTOINFLIGIDA INTENCIONALMENTE POR VAPOR DE AGUA, VAPORES Y OBJETOS CALIENTES, EN COMERCIO Y|
X772;LESION AUTOINFLIGIDA INTENCIONALMENTE POR VAPOR DE AGUA, VAPORES Y OBJETOS CALIENTES, EN ESCUELAS, O|
X777;LESION AUTOINFLIGIDA INTENCIONALMENTE POR VAPOR DE AGUA, VAPORES Y OBJETOS CALIENTES, EN GRANJA|
X771;LESION AUTOINFLIGIDA INTENCIONALMENTE POR VAPOR DE AGUA, VAPORES Y OBJETOS CALIENTES, EN INSTITUCION|
X779;LESION AUTOINFLIGIDA INTENCIONALMENTE POR VAPOR DE AGUA, VAPORES Y OBJETOS CALIENTES, EN LUGAR NO ES|
X778;LESION AUTOINFLIGIDA INTENCIONALMENTE POR VAPOR DE AGUA, VAPORES Y OBJETOS CALIENTES, EN OTRO LUGAR|
X770;LESION AUTOINFLIGIDA INTENCIONALMENTE POR VAPOR DE AGUA, VAPORES Y OBJETOS CALIENTES, EN VIVIENDA|
M999;LESION BIOMECANICA, NO ESPECIFICADA|
G931;LESION CEREBRAL ANOXICA, NO CLASIFICADA EN OTRA PARTE|
O086;LESION DE ORGANOS O TEJIDOS DE LA PELVIS CONSECUTIVO AL ABORTO, AL EMBARAZO ECTOPICO Y AL EMBARAZO M|
C098;LESION DE SITIOS CONTIGUOS DE LA AMIGDALA|
C138;LESION DE SITIOS CONTIGUOS DE LA HIPOFARINGE|
C328;LESION DE SITIOS CONTIGUOS DE LA LARINGE|
C028;LESION DE SITIOS CONTIGUOS DE LA LENGUA|
C508;LESION DE SITIOS CONTIGUOS DE LA MAMA|
C118;LESION DE SITIOS CONTIGUOS DE LA NASOFARINGE|
C108;LESION DE SITIOS CONTIGUOS DE LA OROFARINGE|
C448;LESION DE SITIOS CONTIGUOS DE LA PIEL|
C678;LESION DE SITIOS CONTIGUOS DE LA VEJIGA|
C518;LESION DE SITIOS CONTIGUOS DE LA VULVA|
C088;LESION DE SITIOS CONTIGUOS DE LAS GLANDULAS SALIVALES MAYORES|
C248;LESION DE SITIOS CONTIGUOS DE LAS VIAS BILIARES|
C348;LESION DE SITIOS CONTIGUOS DE LOS BRONQUIOS Y DEL PULMON|
C408;LESION DE SITIOS CONTIGUOS DE LOS HUESOS Y DE LOS CARTILAGOS ARTICULARES DE LOS MIEMBROS|
C478;LESION DE SITIOS CONTIGUOS DE LOS NERVIOS PERIFERICOS Y DEL SISTEMA NERVIOSO AUTONOMO|
C268;LESION DE SITIOS CONTIGUOS DE LOS ORGANOS DIGESTIVOS|
C578;LESION DE SITIOS CONTIGUOS DE LOS ORGANOS GENITALES FEMENINOS|
C638;LESION DE SITIOS CONTIGUOS DE LOS ORGANOS GENITALES MASCULINOS|
C398;LESION DE SITIOS CONTIGUOS DE LOS ORGANOS RESPIRATORIOS E INTRATORACICOS|
C688;LESION DE SITIOS CONTIGUOS DE LOS ORGANOS URINARIOS|
C318;LESION DE SITIOS CONTIGUOS DE LOS SENOS PARANASALES|
C068;LESION DE SITIOS CONTIGUOS DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA BOCA|
C218;LESION DE SITIOS CONTIGUOS DEL ANO, DEL CONDUCTO ANAL Y DEL RECTO|
C388;LESION DE SITIOS CONTIGUOS DEL CORAZON, DEL MEDIASTINO Y DE LA PLEURA|
C538;LESION DE SITIOS CONTIGUOS DEL CUELLO DEL UTERO|
C548;LESION DE SITIOS CONTIGUOS DEL CUERPO DEL UTERO|
C718;LESION DE SITIOS CONTIGUOS DEL ENCEFALO|
C728;LESION DE SITIOS CONTIGUOS DEL ENCEFALO Y OTRAS PARTES DEL SISTEMA NERVIOSO CENTRAL|
C158;LESION DE SITIOS CONTIGUOS DEL ESOFAGO|
C168;LESION DE SITIOS CONTIGUOS DEL ESTOMAGO|
C418;LESION DE SITIOS CONTIGUOS DEL HUESO Y DEL CARTILAGO ARTICULAR|
C178;LESION DE SITIOS CONTIGUOS DEL INTESTINO DELGADO|
C008;LESION DE SITIOS CONTIGUOS DEL LABIO|
C148;LESION DE SITIOS CONTIGUOS DEL LABIO, DE LA CAVIDAD BUCAL Y DE LA FARINGE|
C698;LESION DE SITIOS CONTIGUOS DEL OJO Y SUS ANEXOS|
C058;LESION DE SITIOS CONTIGUOS DEL PALADAR|
C258;LESION DE SITIOS CONTIGUOS DEL PANCREAS|
C608;LESION DE SITIOS CONTIGUOS DEL PENE|
C488;LESION DE SITIOS CONTIGUOS DEL PERITONEO Y DEL RETROPERITONEO|
C048;LESION DE SITIOS CONTIGUOS DEL PISO DE LA BOCA|
C498;LESION DE SITIOS CONTIGUOS DEL TEJIDO CONJUNTIVO Y DEL TEJIDO BLANDO|
C768;LESION DE SITIOS CONTIGUOS MAL DEFINIDOS|
C188;LESION DE SITIOS CONTIGUOS DEL COLON|
P151;LESION DEL BAZO DURANTE EL NACIMIENTO|
P150;LESION DEL HIGADO DURANTE EL NACIMIENTO|
M759;LESION DEL HOMBRO, NO ESPECIFICADA|
G570;LESION DEL NERVIO CIATICO|
G573;LESION DEL NERVIO CIATICO POPLITEO EXTERNO|
G574;LESION DEL NERVIO CIATICO POPLITEO INTERNO|
G572;LESION DEL NERVIO CRURAL|
G562;LESION DEL NERVIO CUBITAL|
G576;LESION DEL NERVIO PLANTAR|
G563;LESION DEL NERVIO RADIAL|
R900;LESION QUE OCUPA EL ESPACIO INTRACRANEAL|
K062;LESIONES DE LA ENCIA Y DE LA ZONA EDENTULA ASOCIADAS CON TRAUMATISMO|
A666;LESIONES FRAMBESICAS DE LOS HUESOS Y DE LAS ARTICULACIONES|
A660;LESIONES INICIALES DE FRAMBESIA|
A671;LESIONES INTERMEDIAS DE LA PINTA|
A673;LESIONES MIXTAS DE LA PINTA|
A661;LESIONES PAPILOMATOSAS MULTIPLES Y FRAMBESIA CON PASO DE CANGREJO|
A670;LESIONES PRIMARIAS DE LA PINTA|
A672;LESIONES TARDIAS DE LA PINTA|
C950;LEUCEMIA AGUDA, CELULAS DE TIPO NO ESPECIFICADO|
C951;LEUCEMIA CRONICA, CELULAS DE TIPO NO ESPECIFICADO|
C901;LEUCEMIA DE CELULAS PLASMATICAS|
C915;LEUCEMIA DE CELULAS T ADULTAS|
C914;LEUCEMIA DE CELULAS VELLOSAS|
C943;LEUCEMIA DE MASTOCITOS|
C910;LEUCEMIA LINFOBLASTICA AGUDA|
C911;LEUCEMIA LINFOCITICA CRONICA|
C912;LEUCEMIA LINFOCITICA SUBAGUDA|
C919;LEUCEMIA LINFOIDE, SIN OTRA ESPECIFICACION|
C942;LEUCEMIA MEGACARIOBLASTICA AGUDA|
C920;LEUCEMIA MIELOIDE AGUDA|
C921;LEUCEMIA MIELOIDE CRONICA|
C922;LEUCEMIA MIELOIDE SUBAGUDA|
C929;LEUCEMIA MIELOIDE, SIN OTRA ESPECIFICACION|
C925;LEUCEMIA MIELOMONOCITICA AGUDA|
C930;LEUCEMIA MONOCITICA AGUDA|
C931;LEUCEMIA MONOCITICA CRONICA|
C932;LEUCEMIA MONOCITICA SUBAGUDA|
C939;LEUCEMIA MONOCITICA, SIN OTRA ESPECIFICACION|
C913;LEUCEMIA PROLINFOCITICA|
C924;LEUCEMIA PROMIELOCITICA AGUDA|
C952;LEUCEMIA SUBAGUDA, CELULAS DE TIPO NO ESPECIFICADO|
C959;LEUCEMIA, NO ESPECIFICADA|
L815;LEUCODERMIA, NO CLASIFICADA EN OTRA PARTE|
G361;LEUCOENCEFALITIS HEMORRAGICA AGUDA Y SUBAGUDA [HURST]|
A812;LEUCOENCEFALOPATIA MULTIFOCAL PROGRESIVA|
I673;LEUCOENCEFALOPATIA VASCULAR PROGRESIVA|
H170;LEUCOMA ADHERENTE|
P912;LEUCOMALACIA CEREBRAL NEONATAL|
Q844;LEUCONIQUIA CONGENITA|
N894;LEUCOPLASIA DE LA VAGINA|
N904;LEUCOPLASIA DE LA VULVA|
N880;LEUCOPLASIA DEL CUELLO DEL UTERO|
N480;LEUCOPLASIA DEL PENE|
K133;LEUCOPLASIA PILOSA|
K132;LEUCOPLASIA Y OTRAS ALTERACIONES DEL EPITELIO BUCAL, INCLUYENDO LA LENGUA|
Q241;LEVOCARDIA|
T513;LICOR DE ALCOHOL INSUFICIENTEMENTE DESTILADO|
L604;LINEAS DE BEAU|
L040;LINFADENITIS AGUDA DE CARA, CABEZA Y CUELLO|
L048;LINFADENITIS AGUDA DE OTROS SITIOS|
L049;LINFADENITIS AGUDA DE SITIO NO ESPECIFICADO|
L043;LINFADENITIS AGUDA DEL MIEMBRO INFERIOR|
L042;LINFADENITIS AGUDA DEL MIEMBRO SUPERIOR|
L041;LINFADENITIS AGUDA DEL TRONCO|
I881;LINFADENITIS CRONICA, EXCEPTO LA MESENTERICA|
I889;LINFADENITIS INESPECIFICA NO ESPECIFICADA|
I880;LINFADENITIS MESENTERICA INESPECIFICA|
A182;LINFADENOPATIA PERIFERICA TUBERCULOSA|
D181;LINFANGIOMA, DE CUALQUIER SITIO|
I891;LINFANGITIS|
Q820;LINFEDEMA HEREDITARIO|
I890;LINFEDEMA, NO CLASIFICADO EN OTRA PARTE|
A55X;LINFOGRANULOMA (VENEREO) POR CLAMIDIAS|
D761;LINFOHISTIOCITOSIS HEMOFAGOCITICA|
C851;LINFOMA DE CELULAS B, SIN OTRA ESPECIFICACION|
C844;LINFOMA DE CELULAS T PERIFERICO|
C842;LINFOMA DE ZONA T|
C963;LINFOMA HISTIOCITICO VERDADERO|
C843;LINFOMA LINFOEPITELIOIDE|
C833;LINFOMA NO HODGKIN DE CELULAS GRANDES (DIFUSO)|
C822;LINFOMA NO HODGKIN DE CELULAS GRANDES, FOLICULAR|
C830;LINFOMA NO HODGKIN DE CELULAS PEQUEÑAS (DIFUSO)|
C831;LINFOMA NO HODGKIN DE CELULAS PEQUEÑAS HENDIDAS (DIFUSO)|
C820;LINFOMA NO HODGKIN DE CELULAS PEQUEÑAS HENDIDAS, FOLICULAR|
C839;LINFOMA NO HODGKIN DIFUSO, SIN OTRA ESPECIFICACION|
C829;LINFOMA NO HODGKIN FOLICULAR, SIN OTRA ESPECIFICACION|
C836;LINFOMA NO HODGKIN INDIFERENCIADO (DIFUSO)|
C834;LINFOMA NO HODGKIN INMUNOBLASTICO (DIFUSO)|
